date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-25,202205,0.606,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.571,,坐垫,W0,WISH,6A21582629786,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.606,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.571,,坐垫,W0,WISH,6A21582577247,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.63,HU,CNE全球特惠,,特惠_HUDPD,特惠_HUDPD,,74.18,,毛绒包,K8,WISH,3A5V599486083,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.704,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,79.264,,毛毯,W0,WISH,6A21582679361,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.598,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,70.943,,法兰绒毛毯,W0,WISH,6A21582679279,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.7,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,78.95,,毛毯,W0,WISH,6A21582679170,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.504,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,63.564,,不粘锅,W,WISH,6A21582503130,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.606,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.571,,坐垫,W0,WISH,6A21582684761,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.601,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.1785,,坐垫,W0,WISH,6A21582684808,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.607,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.6495,,坐垫,W0,WISH,6A21582706371,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.619,IT,CNE全球优先,,优先_WITGLS,优先_WITGLS,,72.9725,,双肩包,K8,WISH,WW620033761,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.623,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.9055,,坐垫,W0,WISH,6A21582706388,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.607,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.6495,,坐垫,W0,WISH,6A21582684730,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.642,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,74.397,,男士合成革鞋,K8,WISH,6A21582652326,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.463,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.3455,,毛毯,W0,WISH,6A21582804190,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.54,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,66.39,,男士合成革鞋,W0,WISH,6A21582653231,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.594,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,70.629,,坐垫,W0,WISH,6A21582706395,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.612,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.042,,坐垫,W0,WISH,6A21582706364,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.603,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.3355,,坐垫,W0,WISH,6A21582654634,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.598,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,70.943,,坐垫,K8,WISH,6A21582706340,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.602,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.257,,坐垫,W0,WISH,6A21582684747,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-29,202205,0.494,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,62.779,,毛毯,W0,WISH,6A21582804176,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.598,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,70.943,,毛毯,K8,WISH,6A21582575366,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.701,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,79.0285,,毛毯,K8,WISH,6A21582575434,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.622,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.827,,毛毯,K8,WISH,6A21582575854,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.711,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,79.8135,,毛毯,K8,WISH,6A21582575564,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.742,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,82.247,,毛毯,K8,WISH,6A21582575946,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.624,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.984,,毛毯,K8,WISH,6A21582575502,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.616,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.356,,毛毯,K8,WISH,6A21582575250,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.459,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.0315,,毛毯,K8,WISH,6A21582575298,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.789,LT,CNE全球特惠,,特惠_OLTVPK,特惠_OLTVPK,,88.221,,成人卫衣,K8,WISH,3A5V599297765,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.668,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,76.438,,法兰绒毛毯,K8,WISH,6A21582575427,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.73,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,81.305,,毛毯,K8,WISH,6A21582575403,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.603,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.3355,,毛毯,K8,WISH,6A21582575694,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-20,202204,0.737,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,81.8545,,毛毯,K8,WISH,6A21582575526,CNY,"(0.453, 1.1]",0.454-1.1KG
